sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,uk_lineage,del_lineage,phylotype,lineage,SH-alrt,UFbootstrap,lineages_version,status,note,sequencing_centre
_England_NORW-319D323_2022_,Y,Y,NORW-319D323,,2022-01-28,109,UK,UK-ENG,Y,,,UK28829,del_trans_352281,UK28829_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319B260_2022_,Y,Y,NORW-319B260,,2022-01-28,109,UK,UK-ENG,Y,,,UK25805,del_trans_206672,UK25805_1.2,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A75F_2022_,Y,Y,NORW-319A75F,,2022-01-28,109,UK,UK-ENG,Y,,,UK26616,del_trans_441874,UK26616_1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A5B4_2022_,Y,Y,NORW-319A5B4,,2022-01-28,109,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.359.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A20E_2022_,Y,Y,NORW-319A20E,,2022-01-28,109,UK,UK-ENG,Y,,,UK11893,del_trans_584172,UK11893_1.227.1.1.1.1.1.8.7.15.1.33.37.3.5,B.1,100,99,2020-05-19,passed_qc,,NORW
_England_NORW-319CBD6_2022_,Y,Y,NORW-319CBD6,,2022-01-28,109,UK,UK-ENG,Y,,,UK26070,del_trans_268133,UK26070_1.341,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BE48_2022_,Y,Y,NORW-319BE48,,2022-01-28,109,UK,UK-ENG,Y,,,UK53820,del_trans_140466,UK53820_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BC02_2022_,Y,Y,NORW-319BC02,,2022-01-28,109,UK,UK-ENG,Y,,,UK25781,del_trans_169900,UK25781_1,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-319D759_2022_,Y,Y,NORW-319D759,,2022-01-28,109,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319AF65_2022_,Y,Y,NORW-319AF65,,2022-01-28,109,UK,UK-ENG,Y,,,UK26070,del_trans_268133,UK26070_1.365,B.1.1,100,99,2020-05-19,passed_qc,,NORW
_England_NORW-319CDF0_2022_,Y,Y,NORW-319CDF0,,2022-01-28,109,UK,UK-ENG,Y,,,UK26666,del_trans_451817,UK26666_1.16,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319B9DA_2022_,Y,Y,NORW-319B9DA,,2022-01-28,109,UK,UK-ENG,Y,,,UK29364,del_trans_439900,UK29364_1.3,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319D65A_2022_,Y,Y,NORW-319D65A,,2022-01-28,109,UK,UK-ENG,Y,,,UK26197,del_trans_346662,UK26197_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A788_2022_,Y,Y,NORW-319A788,,2022-01-28,109,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3191DBF_2022_,Y,Y,NORW-3191DBF,,2022-01-14,107,UK,UK-ENG,Y,,,UK51852,del_trans_400448,UK51852_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-3195E37_2022_,Y,Y,NORW-3195E37,,2022-01-17,108,UK,UK-ENG,Y,,,UK29551,del_trans_474819,UK29551_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-31972BE_2022_,Y,Y,NORW-31972BE,,2022-01-17,108,UK,UK-ENG,Y,,,UK26848,del_trans_67537,UK26848_1,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-3192E11_2022_,Y,Y,NORW-3192E11,,2022-01-17,108,UK,UK-ENG,Y,,,UK26115,del_trans_297043,UK26115_1.1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319754A_2022_,Y,Y,NORW-319754A,,2022-01-17,108,UK,UK-ENG,Y,,,UK25680,del_trans_144594,UK25680_1.27.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319792A_2022_,Y,Y,NORW-319792A,,2022-01-16,108,UK,UK-ENG,Y,,,UK25667,del_trans_140659,UK25667_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31976AC_2022_,Y,Y,NORW-31976AC,,2022-01-16,108,UK,UK-ENG,Y,,,UK27819,del_trans_188053,UK27819_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-31965D9_2022_,Y,Y,NORW-31965D9,,2022-01-15,107,UK,UK-ENG,Y,,,UK11893,del_trans_584172,UK11893_1.227.1.1.1.1.1.4.4.146.1.8.1.1.1.2.1.3.1.3.3.1.1.1.1,B.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3196CD2_2022_,Y,Y,NORW-3196CD2,,2022-01-13,107,UK,UK-ENG,Y,,,UK26681,del_trans_455542,UK26681_1.519,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31952B2_2022_,Y,Y,NORW-31952B2,,2022-01-14,107,UK,UK-ENG,Y,,,UK38111,del_trans_95272,UK38111_1.6,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319202D_2022_,Y,Y,NORW-319202D,,2022-01-16,108,UK,UK-ENG,Y,,,UK26598,del_trans_499629,UK26598_1.91,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3191FBD_2022_,Y,Y,NORW-3191FBD,,2022-01-16,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.797.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3196AD4_2022_,Y,Y,NORW-3196AD4,,2022-01-15,107,UK,UK-ENG,Y,,,UK26253,del_trans_351344,UK26253_1.8,B.1.1,100,94,2020-05-19,passed_qc,,NORW
_England_NORW-318FC43_2022_,Y,Y,NORW-318FC43,,2022-01-02,106,UK,UK-ENG,Y,,,UK34703,del_trans_495591,UK34703_1.1,B.1.1,100,99,2020-05-19,passed_qc,,NORW
_England_NORW-31975F3_2022_,Y,Y,NORW-31975F3,,2022-01-18,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.299,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3192C05_2022_,Y,Y,NORW-3192C05,,2022-01-17,108,UK,UK-ENG,Y,,,UK30835,del_trans_345817,UK30835_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3192698_2022_,Y,Y,NORW-3192698,,2022-01-16,108,UK,UK-ENG,Y,,,UK26681,del_trans_455542,UK26681_1.631,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31927ED_2022_,Y,Y,NORW-31927ED,,2022-01-16,108,UK,UK-ENG,Y,,,UK26383,del_trans_363872,UK26383_1.50.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31970F8_2022_,Y,Y,NORW-31970F8,,2022-01-16,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.376,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-31975E5_2022_,Y,Y,NORW-31975E5,,2022-01-17,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.797.1.1,B.1.1,100,93,2020-05-19,passed_qc,,NORW
_England_NORW-3191D14_2022_,Y,Y,NORW-3191D14,,2022-01-17,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.941,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319626B_2022_,Y,Y,NORW-319626B,,2022-01-17,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.1831.1.4.1.1.2,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319251A_2022_,Y,Y,NORW-319251A,,2022-01-16,108,UK,UK-ENG,Y,,,UK25790,del_trans_220971,UK25790_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319260B_2022_,Y,Y,NORW-319260B,,2022-01-17,108,UK,UK-ENG,Y,,,UK26115,del_trans_297043,UK26115_1.1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31964BE_2022_,Y,Y,NORW-31964BE,,2022-01-17,108,UK,UK-ENG,Y,,,UK26115,del_trans_297043,UK26115_1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319643F_2022_,Y,Y,NORW-319643F,,2022-01-15,107,UK,UK-ENG,Y,,,UK51354,del_trans_260579,UK51354_1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3191AFA_2022_,Y,Y,NORW-3191AFA,,2022-01-17,108,UK,UK-ENG,Y,,,UK25671,del_trans_141240,UK25671_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-3196BE1_2022_,Y,Y,NORW-3196BE1,,2022-01-16,108,UK,UK-ENG,Y,,,UK26604,del_trans_439338,UK26604_1.178,B.1.1,100,97,2020-05-19,passed_qc,,NORW
_England_NORW-3192370_2022_,Y,Y,NORW-3192370,,2022-01-17,108,UK,UK-ENG,Y,,,UK26269,del_trans_353809,UK26269_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-3196512_2022_,Y,Y,NORW-3196512,,2022-01-17,108,UK,UK-ENG,Y,,,UK37882,del_trans_67676,UK37882_1.4,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3197AB6_2022_,Y,Y,NORW-3197AB6,,2022-01-16,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.1744,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-3196956_2022_,Y,Y,NORW-3196956,,2022-01-17,108,UK,UK-ENG,Y,,,UK44125,del_trans_313879,UK44125_1.2,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3197601_2022_,Y,Y,NORW-3197601,,2022-01-16,108,UK,UK-ENG,Y,,,UK25781,del_trans_169900,UK25781_1,B.1.1,100,94,2020-05-19,passed_qc,,NORW
_England_NORW-31918EE_2022_,Y,Y,NORW-31918EE,,2022-01-16,108,UK,UK-ENG,Y,,,UK25790,del_trans_220971,UK25790_1.1.22,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-3196C8C_2022_,Y,Y,NORW-3196C8C,,2022-01-18,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.797.1.2,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-31952DE_2022_,Y,Y,NORW-31952DE,,2022-01-17,108,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3192D4C_2022_,Y,Y,NORW-3192D4C,,2022-01-16,108,UK,UK-ENG,Y,,,UK26681,del_trans_455542,UK26681_1.691,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3195DFF_2022_,Y,Y,NORW-3195DFF,,2022-01-16,108,UK,UK-ENG,Y,,,UK35399,del_trans_317822,UK35399_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31925C3_2022_,Y,Y,NORW-31925C3,,2022-01-16,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.1202.1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-31956A0_2022_,Y,Y,NORW-31956A0,,2022-01-17,108,UK,UK-ENG,Y,,,UK25773,del_trans_157092,UK25773_1.46,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319241B_2022_,Y,Y,NORW-319241B,,2022-01-16,108,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3197467_2022_,Y,Y,NORW-3197467,,2022-01-16,108,UK,UK-ENG,Y,,,UK44383,del_trans_343798,UK44383_1.10,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-31975D7_2022_,Y,Y,NORW-31975D7,,2022-01-16,108,UK,UK-ENG,Y,,,UK42012,del_trans_228517,UK42012_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3192ED8_2022_,Y,Y,NORW-3192ED8,,2022-01-17,108,UK,UK-ENG,Y,,,UK45340,del_trans_385966,UK45340_1.3,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319C975_2022_,Y,Y,NORW-319C975,,2022-01-20,108,UK,UK-ENG,Y,,,UK25790,del_trans_220971,UK25790_1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BD2D_2022_,Y,Y,NORW-319BD2D,,2022-02-08,111,UK,UK-ENG,Y,,,UK27860,del_trans_194718,UK27860_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319D6BD_2022_,Y,Y,NORW-319D6BD,,2022-02-03,110,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A67C_2022_,Y,Y,NORW-319A67C,,2022-02-11,111,UK,UK-ENG,N,,,UK57502,del_trans_221426,UK57502_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A048_2022_,Y,Y,NORW-319A048,,2022-02-11,111,UK,UK-ENG,Y,,,UK25987,del_trans_246865,UK25987_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319C297_2022_,Y,Y,NORW-319C297,,2022-02-09,111,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.665,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-319C0C3_2022_,Y,Y,NORW-319C0C3,,2022-02-09,111,UK,UK-ENG,Y,,,UK36533,del_trans_22821,,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A3B6_2022_,Y,Y,NORW-319A3B6,,2022-02-05,110,UK,UK-ENG,Y,,,UK26848,del_trans_67537,UK26848_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319D5E8_2022_,Y,Y,NORW-319D5E8,,2022-01-29,109,UK,UK-ENG,Y,,,UK25667,del_trans_140659,UK25667_1.18.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BA12_2022_,Y,Y,NORW-319BA12,,2022-02-09,111,UK,UK-ENG,N,,,UK25641,del_trans_55611,UK25641_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319B5C0_2022_,Y,Y,NORW-319B5C0,,2022-02-08,111,UK,UK-ENG,Y,,,UK29455,del_trans_455560,UK29455_1.15.1.1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319B7EA_2022_,Y,Y,NORW-319B7EA,,2022-02-11,111,UK,UK-ENG,N,,,UK25785,del_trans_176349,UK25785_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318C976_2022_,Y,Y,NORW-318C976,,2022-01-02,106,UK,UK-ENG,Y,,,UK26404,del_trans_371452,UK26404_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3184A76_2022_,Y,Y,NORW-3184A76,,2022-01-04,106,UK,UK-ENG,Y,,,UK30676,del_trans_304407,UK30676_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318DB72_2022_,Y,Y,NORW-318DB72,,2022-01-01,105,UK,UK-ENG,Y,,,UK11893,del_trans_584172,UK11893_1.227.1.1.1.1.1.4.4.146.1.8.1.1.1.2.1.3.1.3.3.1.1.1.1,B.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319C20A_2022_,Y,Y,NORW-319C20A,,2022-02-10,111,UK,UK-ENG,N,,,UK26099,del_trans_287364,UK26099_1.14.1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319D4A1_2022_,Y,Y,NORW-319D4A1,,2022-02-11,111,UK,UK-ENG,N,,,UK31482,del_trans_482829,UK31482_1.1,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-318AD3E_2022_,Y,Y,NORW-318AD3E,,2022-01-01,105,UK,UK-ENG,Y,,,UK45340,del_trans_385966,UK45340_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-31895E1_2022_,Y,Y,NORW-31895E1,,2022-01-01,105,UK,UK-ENG,Y,,,UK37882,del_trans_67676,UK37882_1.4,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BD3B_2022_,Y,Y,NORW-319BD3B,,2022-02-10,111,UK,UK-ENG,N,,,UK26197,del_trans_346662,UK26197_1.65,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318E591_2022_,Y,Y,NORW-318E591,,2022-01-01,105,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.1202.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BF2B_2022_,Y,Y,NORW-319BF2B,,2022-02-11,111,UK,UK-ENG,N,,,UK25640,del_trans_7233,UK25640_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319B0C5_2022_,Y,Y,NORW-319B0C5,,2022-02-12,111,UK,UK-ENG,N,,,UK38166,del_trans_101986,UK38166_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A064_2022_,Y,Y,NORW-319A064,,2022-01-29,109,UK,UK-ENG,Y,,,UK25641,del_trans_55611,UK25641_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319CFD2_2022_,Y,Y,NORW-319CFD2,,2022-01-14,107,UK,UK-ENG,Y,,,UK26448,del_trans_382003,UK26448_1.2,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3184509_2022_,Y,Y,NORW-3184509,,2022-01-01,105,UK,UK-ENG,Y,,,UK25781,del_trans_169900,UK25781_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319C2FB_2022_,Y,Y,NORW-319C2FB,,2022-02-11,111,UK,UK-ENG,Y,,,UK52430,del_trans_12590,UK52430_1.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319B4C1_2022_,Y,Y,NORW-319B4C1,,2022-01-04,106,UK,UK-ENG,Y,,,UK11893,del_trans_584172,UK11893_1.227.1.1.1.1.1.4.8.53.3.3.6.1.2.2.1.3.2,B.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319ABF6_2022_,Y,Y,NORW-319ABF6,,2022-01-30,110,UK,UK-ENG,Y,,,UK25667,del_trans_140659,UK25667_1.18.1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319C099_2022_,Y,Y,NORW-319C099,,2022-02-11,111,UK,UK-ENG,N,,,UK25641,del_trans_55611,UK25641_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319CD63_2022_,Y,Y,NORW-319CD63,,2022-02-11,111,UK,UK-ENG,Y,,,UK43969,del_trans_305896,UK43969_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319C1FC_2022_,Y,Y,NORW-319C1FC,,2022-02-11,111,UK,UK-ENG,Y,,,UK39284,del_trans_150307,,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A0C7_2022_,Y,Y,NORW-319A0C7,,2022-02-04,110,UK,UK-ENG,Y,,,UK27778,del_trans_182035,UK27778_1.3.1.1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319C2A5_2022_,Y,Y,NORW-319C2A5,,2022-02-10,111,UK,UK-ENG,Y,,,UK30129,del_trans_196906,UK30129_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319B1B6_2022_,Y,Y,NORW-319B1B6,,2022-02-11,111,UK,UK-ENG,Y,,,UK25987,del_trans_246865,UK25987_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318C10C_2022_,Y,Y,NORW-318C10C,,2022-01-01,105,UK,UK-ENG,Y,,,UK38111,del_trans_95272,UK38111_1.6,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-318C3ED_2022_,Y,Y,NORW-318C3ED,,2022-01-05,106,UK,UK-ENG,Y,,,UK26062,del_trans_262210,UK26062_1.24,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-3187C1A_2022_,Y,Y,NORW-3187C1A,,2022-01-02,106,UK,UK-ENG,Y,,,UK26070,del_trans_268133,UK26070_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318F459_2022_,Y,Y,NORW-318F459,,2022-01-14,107,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318E91E_2022_,Y,Y,NORW-318E91E,,2022-01-02,106,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1.286,B.1.1,100,94,2020-05-19,passed_qc,,NORW
_England_NORW-31841E0_2022_,Y,Y,NORW-31841E0,,2022-01-03,106,UK,UK-ENG,Y,,,UK26070,del_trans_268133,UK26070_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3195142_2022_,Y,Y,NORW-3195142,,2022-01-03,106,UK,UK-ENG,Y,,,UK28489,del_trans_294448,UK28489_1,B.1.1,100,94,2020-05-19,passed_qc,,NORW
_England_NORW-318DE45_2022_,Y,Y,NORW-318DE45,,2022-01-03,106,UK,UK-ENG,Y,,,UK26308,del_trans_360651,UK26308_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-3182F4B_2022_,Y,Y,NORW-3182F4B,,2022-01-01,105,UK,UK-ENG,Y,,,UK26070,del_trans_268133,UK26070_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318C6B0_2022_,Y,Y,NORW-318C6B0,,2022-01-12,107,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1.1383,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319059D_2022_,Y,Y,NORW-319059D,,2022-01-02,106,UK,UK-ENG,Y,,,UK26070,del_trans_268133,UK26070_1.301,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-318E702_2022_,Y,Y,NORW-318E702,,2022-01-05,106,UK,UK-ENG,Y,,,UK50452,del_trans_176760,UK50452_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-3196DC3_2022_,Y,Y,NORW-3196DC3,,2022-01-06,106,UK,UK-ENG,Y,,,UK26074,del_trans_273653,UK26074_1,B.1.1,100,96,2020-05-19,passed_qc,,NORW
