#node	clock_length	mutation_length	rate	fold_change
NODE_0000035	5.333e-04	6.682e-05	1.018e-03	0.13
NODE_0000036	1.480e-04	3.341e-05	2.371e-03	0.30
England_NORW-22CE5D_2021	2.259e-04	3.341e-05	1.457e-03	0.18
England_NORW-22BBB1_2021	2.863e-05	3.341e-05	8.239e-03	1.03
NODE_0000037	2.519e-05	3.341e-05	8.492e-03	1.06
England_NORW-22BD8E_2021	1.515e-04	3.341e-05	2.306e-03	0.29
England_NORW-229139_2021	1.998e-05	3.341e-05	8.791e-03	1.10
NODE_0000028	1.051e-04	3.189e-22	5.166e-03	0.65
NODE_0000103	6.274e-04	2.005e-04	2.372e-03	0.30
England_NORW-22BA0F_2021	9.169e-05	2.754e-18	8.922e-04	0.11
England_NORW-22BC81_2021	4.786e-05	6.683e-05	9.114e-03	1.14
NODE_0000033	0.000e+00	3.189e-22	6.903e-03	0.86
NODE_0000034	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000038	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22756C_2021	8.944e-04	3.343e-05	8.000e-04	0.10
NODE_0000039	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22D1BD_2021	1.070e-03	3.341e-05	8.000e-04	0.10
NODE_0000089	4.011e-04	3.341e-05	8.000e-04	0.10
England_NORW-22B3B9_2021	2.523e-04	3.193e-22	8.000e-04	0.10
NODE_0000090	3.280e-05	3.341e-05	7.546e-03	0.94
England_NORW-22BD7F_2021	1.537e-04	3.183e-22	8.000e-04	0.10
England_NORW-22BE9A_2021	2.195e-04	3.183e-22	8.000e-04	0.10
England_NORW-228307_2021	4.413e-05	6.682e-05	9.413e-03	1.18
NODE_0000093	2.387e-04	3.341e-05	1.369e-03	0.17
England_NORW-22C057_2021	4.653e-05	3.178e-22	2.725e-03	0.34
England_NORW-22B2DA_2021	2.697e-06	3.178e-22	7.948e-03	0.99
NODE_0000045	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000047	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-227F31_2021	1.492e-04	3.342e-05	1.566e-03	0.20
NODE_0000049	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22951F_2021	3.684e-04	6.684e-05	1.354e-03	0.17
England_NORW-22B085_2021	2.807e-04	6.682e-05	1.725e-03	0.22
NODE_0000050	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22BDAC_2021	6.533e-04	2.673e-04	3.076e-03	0.38
NODE_0000094	6.327e-04	1.337e-04	1.597e-03	0.20
NODE_0000053	1.868e-05	3.166e-22	6.873e-03	0.86
England_NORW-22CC53_2021	1.553e-04	3.166e-22	8.000e-04	0.10
NODE_0000056	0.000e+00	3.166e-22	8.000e-03	1.00
England_NORW-22BDF7_2021	1.920e-06	3.166e-22	7.948e-03	0.99
England_NORW-22B9F3_2021	1.920e-06	3.166e-22	7.948e-03	0.99
NODE_0000097	1.576e-05	3.341e-05	8.890e-03	1.11
England_NORW-22CDC9_2021	1.583e-04	3.342e-05	2.241e-03	0.28
NODE_0000072	2.350e-06	3.161e-22	8.000e-03	1.00
England_NORW-22CD41_2021	1.559e-04	3.341e-05	2.240e-03	0.28
NODE_0000080	2.215e-06	3.161e-22	8.000e-03	1.00
England_NORW-22BD06_2021	2.769e-07	3.156e-22	7.948e-03	0.99
England_NORW-22CC62_2021	1.537e-04	3.161e-22	8.000e-04	0.10
NODE_0000058	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000061	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000062	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-228B78_2021	1.492e-04	3.207e-22	8.000e-04	0.10
NODE_0000105	3.978e-05	3.341e-05	3.490e-03	0.44
England_NORW-22898D_2021	1.094e-04	3.342e-05	3.317e-03	0.41
England_NORW-229B86_2020	-1.000e-12	2.763e-18	8.000e-03	1.00
NODE_0000040	5.830e-04	3.341e-05	8.000e-04	0.10
NODE_0000086	0.000e+00	3.185e-22	8.000e-03	1.00
NODE_0000041	3.948e-04	6.682e-05	1.800e-03	0.23
England_NORW-21FC08_2021	2.673e-04	1.337e-04	4.291e-03	0.54
England_NORW-21FB29_2021	2.673e-04	6.683e-05	2.269e-03	0.28
NODE_0000043	2.207e-04	3.341e-05	2.206e-03	0.28
NODE_0000044	1.106e-04	6.682e-05	4.383e-03	0.55
England_NORW-22D34E_2021	1.335e-04	3.341e-05	3.571e-03	0.45
England_NORW-22D2C9_2021	6.775e-05	3.341e-05	7.765e-03	0.97
England_NORW-22D19F_2021	1.335e-04	1.339e-04	9.625e-03	1.20
NODE_0000046	7.920e-05	6.682e-05	7.474e-03	0.93
England_NORW-229C0B_2021	3.339e-05	6.682e-05	9.855e-03	1.23
NODE_0000099	5.805e-07	3.196e-22	8.000e-03	1.00
England_NORW-22A97C_2021	5.473e-05	3.341e-05	5.868e-03	0.73
England_NORW-22D250_2021	9.856e-05	1.002e-04	7.844e-03	0.98
NODE_0000048	6.899e-05	6.683e-05	9.503e-03	1.19
England_NORW-21FC62_2021	5.931e-04	1.672e-04	2.531e-03	0.32
England_NORW-22D36C_2021	3.301e-04	6.682e-05	2.066e-03	0.26
England_NORW-22463F_2021	4.397e-04	1.337e-04	2.843e-03	0.36
NODE_0000052	3.274e-04	1.671e-04	4.875e-03	0.61
England_NORW-22D487_2021	2.219e-04	3.341e-05	1.500e-03	0.19
NODE_0000104	0.000e+00	3.155e-22	8.000e-03	1.00
England_NORW-22D1F9_2021	2.697e-06	3.161e-22	7.948e-03	0.99
England_NORW-22465D_2021	1.123e-04	3.155e-22	8.000e-04	0.10
NODE_0000054	1.051e-04	1.337e-04	9.452e-03	1.18
England_NORW-22466C_2021	3.346e-04	1.338e-04	3.875e-03	0.48
NODE_0000055	1.154e-04	1.002e-04	9.362e-03	1.17
England_NORW-227265_2021	-1.000e-12	3.148e-22	8.000e-03	1.00
NODE_0000074	1.464e-05	3.158e-22	7.399e-03	0.92
NODE_0000075	0.000e+00	3.158e-22	8.000e-03	1.00
England_NORW-224611_2021	1.388e-04	3.158e-22	8.000e-04	0.10
England_NORW-2245F6_2021	1.388e-04	3.158e-22	8.000e-04	0.10
NODE_0000076	0.000e+00	3.158e-22	8.000e-03	1.00
England_NORW-22468A_2021	2.045e-04	3.162e-22	8.000e-04	0.10
England_NORW-22D302_2021	1.388e-04	3.341e-05	2.456e-03	0.31
NODE_0000078	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000059	9.604e-05	3.341e-05	2.402e-03	0.30
NODE_0000060	7.082e-05	6.682e-05	6.763e-03	0.85
NODE_0000114	0.000e+00	3.185e-22	8.000e-03	1.00
England_NORW-22C206_2021	6.618e-04	3.185e-22	8.000e-04	0.10
England_NORW-22CD14_2021	6.399e-04	3.185e-22	8.000e-04	0.10
NODE_0000120	2.503e-06	3.185e-22	8.000e-03	1.00
England_NORW-22CC17_2021	6.374e-04	3.341e-05	8.000e-04	0.10
NODE_0000121	1.783e-06	3.185e-22	8.000e-03	1.00
England_NORW-2294A9_2021	-1.000e-12	3.185e-22	7.948e-03	0.99
England_NORW-228176_2021	-1.000e-12	3.209e-22	7.948e-03	0.99
NODE_0000064	4.552e-05	3.341e-05	6.158e-03	0.77
England_NORW-227FE6_2021	2.959e-05	3.342e-05	8.002e-03	1.00
NODE_0000082	3.757e-05	3.184e-22	8.000e-03	1.00
NODE_0000067	7.366e-04	1.002e-04	1.085e-03	0.14
England_NORW-22D399_2021	6.641e-05	3.345e-05	5.231e-03	0.65
England_NORW-227247_2021	6.557e-07	3.181e-22	7.948e-03	0.99
NODE_0000084	0.000e+00	3.184e-22	8.000e-03	1.00
England_NORW-228E15_2021	3.427e-04	6.686e-05	1.541e-03	0.19
NODE_0000069	4.723e-04	6.682e-05	1.129e-03	0.14
England_NORW-22BB0C_2021	4.579e-05	6.682e-05	9.410e-03	1.18
England_NORW-22B3E6_2021	4.579e-05	3.175e-22	2.778e-03	0.35
England_NORW-22B8AB_2021	4.579e-05	3.175e-22	2.778e-03	0.35
England_NORW-22BB93_2021	4.579e-05	6.682e-05	9.410e-03	1.18
England_NORW-22B52C_2021	4.579e-05	3.165e-22	2.778e-03	0.35
NODE_0000073	1.118e-05	3.341e-05	8.870e-03	1.11
England_NORW-229B1D_2021	1.841e-05	3.341e-05	8.775e-03	1.10
NODE_0000087	2.219e-06	3.189e-22	7.957e-03	0.99
England_NORW-22C145_2021	6.080e-04	6.684e-05	9.396e-04	0.12
NODE_0000088	2.137e-06	3.189e-22	7.958e-03	0.99
England_NORW-22BE30_2021	5.401e-04	6.682e-05	1.065e-03	0.13
NODE_0000091	2.204e-06	3.189e-22	7.960e-03	1.00
England_NORW-229096_2021	3.625e-04	3.342e-05	8.537e-04	0.11
NODE_0000092	2.106e-06	3.189e-22	7.965e-03	1.00
NODE_0000079	3.823e-04	6.682e-05	1.538e-03	0.19
England_NORW-22CD7E_2021	2.630e-04	3.341e-05	1.235e-03	0.15
England_NORW-228000_2021	-1.000e-12	3.188e-22	8.000e-03	1.00
NODE_0000095	2.130e-06	3.189e-22	7.959e-03	0.99
England_NORW-22B261_2021	5.336e-04	3.341e-05	8.000e-04	0.10
NODE_0000096	1.943e-06	3.189e-22	7.962e-03	1.00
NODE_0000077	5.290e-04	3.341e-05	8.000e-04	0.10
England_NORW-22BFE2_2021	1.561e-04	3.178e-22	8.000e-04	0.10
England_NORW-22B9E4_2021	2.697e-06	3.184e-22	7.948e-03	0.99
NODE_0000098	1.976e-06	3.189e-22	7.968e-03	1.00
NODE_0000083	5.512e-04	3.341e-05	8.000e-04	0.10
England_NORW-22C1DC_2021	4.427e-05	3.341e-05	7.083e-03	0.89
England_NORW-22BB75_2021	4.379e-07	3.184e-22	7.999e-03	1.00
NODE_0000100	1.812e-06	3.189e-22	7.965e-03	1.00
England_NORW-228F7C_2021	1.772e-04	3.187e-22	8.000e-04	0.10
NODE_0000101	8.343e-07	3.189e-22	8.000e-03	1.00
England_NORW-228747_2021	1.043e-06	3.189e-22	7.952e-03	0.99
England_NORW-22B304_2021	8.871e-05	3.341e-05	4.046e-03	0.51
NODE_0000102	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22BE7C_2021	5.876e-04	3.341e-05	8.000e-04	0.10
NODE_0000111	1.072e-04	3.341e-05	2.030e-03	0.25
England_NORW-228FE5_2021	8.589e-05	1.672e-04	1.189e-02	1.49
NODE_0000133	1.534e-05	3.341e-05	8.897e-03	1.11
NODE_0000135	1.972e-05	6.682e-05	9.984e-03	1.25
NODE_0000141	9.666e-05	1.002e-04	8.263e-03	1.03
England_NORW-227E07_2021	1.076e-04	6.682e-05	5.547e-03	0.69
England_NORW-227F7D_2021	1.076e-04	1.674e-04	1.069e-02	1.34
NODE_0000142	7.002e-06	3.341e-05	8.717e-03	1.09
England_NORW-22897E_2021	-1.000e-12	3.180e-22	8.000e-03	1.00
NODE_0000108	3.269e-05	3.175e-22	5.815e-03	0.73
NODE_0000109	0.000e+00	3.175e-22	8.000e-03	1.00
England_NORW-22B216_2021	5.153e-04	3.175e-22	8.000e-04	0.10
England_NORW-22BEC7_2021	4.714e-04	3.175e-22	8.000e-04	0.10
NODE_0000110	0.000e+00	3.175e-22	8.000e-03	1.00
England_NORW-22B2AD_2021	4.933e-04	6.682e-05	1.148e-03	0.14
England_NORW-22B00D_2021	7.690e-05	2.739e-18	9.898e-04	0.12
NODE_0000113	0.000e+00	3.171e-22	8.000e-03	1.00
England_NORW-22D469_2021	1.059e-03	2.339e-04	1.814e-03	0.23
NODE_0000137	4.228e-04	3.341e-05	8.000e-04	0.10
England_NORW-22B225_2021	1.321e-04	3.342e-05	2.667e-03	0.33
England_NORW-22B252_2021	1.321e-04	3.185e-22	8.000e-04	0.10
England_NORW-22BC45_2021	2.256e-05	3.344e-05	8.640e-03	1.08
England_NORW-22B39B_2021	1.321e-04	3.186e-22	8.000e-04	0.10
NODE_0000115	5.709e-05	3.180e-22	7.414e-03	0.93
England_NORW-22464E_2021	1.044e-03	2.005e-04	1.511e-03	0.19
NODE_0000116	0.000e+00	3.180e-22	7.921e-03	0.99
NODE_0000147	7.793e-04	1.337e-04	1.349e-03	0.17
England_NORW-22A772_2021	2.325e-05	3.342e-05	8.740e-03	1.09
England_NORW-22AAD3_2021	2.325e-05	3.342e-05	8.740e-03	1.09
NODE_0000119	2.056e-05	3.169e-22	6.006e-03	0.75
England_NORW-22A45D_2021	2.697e-06	3.165e-22	7.948e-03	0.99
England_NORW-229D08_2021	2.697e-06	3.163e-22	7.948e-03	0.99
NODE_0000150	1.930e-04	3.341e-05	1.427e-03	0.18
NODE_0000151	6.506e-04	6.682e-05	8.684e-04	0.11
England_NORW-22D2E7_2021	2.697e-06	3.185e-22	7.948e-03	0.99
England_NORW-22D539_2021	2.000e-04	3.345e-05	1.691e-03	0.21
NODE_0000152	1.054e-04	1.003e-04	7.374e-03	0.92
England_NORW-22B42F_2021	1.096e-04	3.186e-22	8.000e-04	0.10
England_NORW-22862C_2021	-1.000e-12	3.186e-22	8.000e-03	1.00
England_NORW-22BE6D_2021	1.096e-04	3.186e-22	8.000e-04	0.10
England_NORW-22B2BC_2021	1.973e-04	3.186e-22	8.000e-04	0.10
NODE_0000153	1.069e-04	3.342e-05	3.401e-03	0.43
England_NORW-22BDBB_2021	1.123e-04	3.185e-22	8.000e-04	0.10
NODE_0000160	0.000e+00	2.749e-18	8.000e-03	1.00
England_NORW-22BEA9_2021	2.697e-06	3.179e-22	7.948e-03	0.99
England_NORW-22B43E_2021	9.037e-05	3.182e-22	9.636e-04	0.12
NODE_0000171	5.485e-05	3.341e-05	6.630e-03	0.83
NODE_0000172	9.124e-06	3.341e-05	8.896e-03	1.11
England_NORW-228B87_2021	-1.000e-12	3.176e-22	8.000e-03	1.00
NODE_0000165	0.000e+00	3.176e-22	8.000e-03	1.00
NODE_0000166	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-228CEE_2021	3.507e-04	3.194e-22	8.000e-04	0.10
England_NORW-22B313_2021	5.260e-04	6.682e-05	1.100e-03	0.14
NODE_0000167	0.000e+00	3.176e-22	8.000e-03	1.00
NODE_0000168	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-22B9B7_2021	4.384e-04	3.180e-22	8.000e-04	0.10
England_NORW-227F8C_2021	3.945e-04	3.176e-22	8.000e-04	0.10
NODE_0000169	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-22CB65_2021	4.822e-04	3.341e-05	8.000e-04	0.10
England_NORW-22B243_2021	5.041e-04	3.341e-05	8.000e-04	0.10
NODE_0000127	1.895e-05	3.181e-22	7.714e-03	0.96
NODE_0000128	0.000e+00	3.181e-22	8.000e-03	1.00
England_NORW-22BF79_2021	5.820e-04	3.346e-05	8.000e-04	0.10
NODE_0000180	4.009e-04	3.341e-05	8.000e-04	0.10
England_NORW-22BAF0_2021	2.767e-05	3.341e-05	8.000e-03	1.00
NODE_0000181	3.011e-04	3.341e-05	1.053e-03	0.13
England_NORW-22D593_2021	3.403e-04	3.341e-05	9.095e-04	0.11
England_NORW-2273F9_2021	5.534e-05	6.682e-05	8.500e-03	1.06
NODE_0000132	0.000e+00	3.181e-22	8.000e-03	1.00
England_NORW-22B54A_2021	4.943e-04	1.002e-04	1.669e-03	0.21
NODE_0000183	4.035e-04	6.682e-05	1.399e-03	0.17
England_NORW-22D162_2021	4.634e-04	3.345e-05	8.000e-04	0.10
England_NORW-22B38C_2021	9.075e-05	1.002e-04	8.385e-03	1.05
NODE_0000184	3.314e-04	6.683e-05	1.805e-03	0.23
England_NORW-22D2F6_2021	4.428e-05	3.341e-05	6.809e-03	0.85
NODE_0000185	4.424e-05	3.341e-05	7.076e-03	0.88
England_NORW-22D223_2021	2.196e-05	3.341e-05	8.585e-03	1.07
England_NORW-22D171_2021	1.096e-04	3.342e-05	3.213e-03	0.40
NODE_0000188	2.880e-04	6.683e-05	2.074e-03	0.26
England_NORW-22A9F4_2021	-1.000e-12	3.172e-22	8.000e-03	1.00
NODE_0000138	1.388e-05	3.172e-22	7.441e-03	0.93
NODE_0000139	0.000e+00	3.172e-22	8.000e-03	1.00
England_NORW-22D38A_2021	9.570e-05	3.341e-05	3.630e-03	0.45
England_NORW-2245E7_2021	1.395e-04	1.337e-04	7.537e-03	0.94
NODE_0000140	6.671e-07	3.172e-22	8.000e-03	1.00
NODE_0000143	0.000e+00	3.172e-22	7.999e-03	1.00
England_NORW-22D180_2021	1.827e-04	3.175e-22	8.000e-04	0.10
England_NORW-22AEAA_2021	2.928e-05	3.177e-22	3.930e-03	0.49
NODE_0000144	0.000e+00	3.172e-22	8.000e-03	1.00
NODE_0000193	1.362e-04	6.683e-05	4.388e-03	0.55
England_NORW-22D205_2021	2.697e-06	3.164e-22	7.948e-03	0.99
England_NORW-22D0DE_2021	2.697e-06	3.164e-22	7.948e-03	0.99
NODE_0000195	2.196e-05	3.341e-05	8.128e-03	1.02
England_NORW-22D29C_2021	2.703e-04	3.346e-05	1.222e-03	0.15
NODE_0000186	2.450e-06	3.176e-22	8.000e-03	1.00
England_NORW-22D214_2021	1.583e-04	3.345e-05	2.242e-03	0.28
NODE_0000187	2.392e-06	3.176e-22	8.000e-03	1.00
England_NORW-22D3B7_2021	1.121e-04	3.176e-22	8.000e-04	0.10
NODE_0000189	5.520e-07	3.176e-22	8.000e-03	1.00
England_NORW-22D108_2021	4.577e-05	3.341e-05	6.890e-03	0.86
England_NORW-22A077_2021	1.932e-06	2.747e-18	7.948e-03	0.99
NODE_0000148	3.932e-05	3.186e-22	4.214e-03	0.53
England_NORW-229281_2021	2.466e-05	3.343e-05	7.981e-03	1.00
NODE_0000149	3.746e-05	3.186e-22	4.215e-03	0.53
NODE_0000122	7.487e-05	1.002e-04	8.607e-03	1.08
England_NORW-22B37D_2021	2.192e-05	3.172e-22	5.596e-03	0.70
England_NORW-22AF4D_2021	-1.000e-12	3.175e-22	8.000e-03	1.00
England_NORW-228C57_2021	2.192e-04	3.347e-05	1.523e-03	0.19
NODE_0000154	3.031e-06	3.186e-22	7.361e-03	0.92
NODE_0000162	3.262e-04	2.005e-04	4.924e-03	0.62
England_NORW-22BDE8_2021	7.439e-05	6.683e-05	7.890e-03	0.99
NODE_0000196	2.332e-06	3.180e-22	8.000e-03	1.00
England_NORW-22C1CD_2021	2.912e-04	3.180e-22	8.000e-04	0.10
NODE_0000197	2.208e-06	3.180e-22	8.000e-03	1.00
England_NORW-22BE8B_2021	6.985e-05	3.177e-22	1.542e-03	0.19
NODE_0000198	2.181e-06	3.180e-22	8.000e-03	1.00
England_NORW-22B2CB_2021	6.767e-05	3.180e-22	1.542e-03	0.19
NODE_0000199	0.000e+00	3.180e-22	8.000e-03	1.00
England_NORW-22961C_2021	1.920e-06	3.180e-22	7.948e-03	0.99
England_NORW-22899C_2021	1.920e-06	3.180e-22	7.948e-03	0.99
NODE_0000156	0.000e+00	3.186e-22	8.000e-03	1.00
NODE_0000157	0.000e+00	3.186e-22	8.000e-03	1.00
England_NORW-22D548_2021	1.014e-03	1.002e-04	8.152e-04	0.10
England_NORW-22D26F_2021	7.732e-04	2.339e-04	2.477e-03	0.31
NODE_0000158	0.000e+00	3.186e-22	8.000e-03	1.00
England_NORW-22BB39_2021	5.102e-04	1.337e-04	2.185e-03	0.27
NODE_0000159	0.000e+00	3.186e-22	8.000e-03	1.00
NODE_0000112	3.068e-04	3.341e-05	1.008e-03	0.13
England_NORW-22A332_2021	4.225e-04	3.172e-22	8.000e-04	0.10
England_NORW-22D2BA_2021	5.540e-04	3.181e-22	8.000e-04	0.10
England_NORW-22D27E_2021	4.664e-04	3.181e-22	8.000e-04	0.10
England_NORW-22D43C_2021	7.294e-04	6.686e-05	8.000e-04	0.10
England_NORW-22B45C_2021	1.814e-04	6.682e-05	3.406e-03	0.43
NODE_0000117	2.545e-05	3.341e-05	8.546e-03	1.07
England_NORW-22960D_2021	2.550e-06	3.184e-22	7.948e-03	0.99
NODE_0000118	2.415e-05	3.341e-05	8.646e-03	1.08
England_NORW-22BF6A_2021	2.633e-04	3.342e-05	1.232e-03	0.15
England_NORW-22BD42_2021	2.224e-05	3.341e-05	8.712e-03	1.09
NODE_0000163	0.000e+00	3.186e-22	8.000e-03	1.00
NODE_0000164	0.000e+00	3.186e-22	8.000e-03	1.00
England_NORW-22B902_2021	4.664e-04	3.186e-22	8.000e-04	0.10
England_NORW-22BCCD_2021	3.349e-04	3.186e-22	8.000e-04	0.10
NODE_0000124	1.453e-04	3.341e-05	2.296e-03	0.29
England_NORW-22CD9C_2021	4.525e-04	6.682e-05	1.290e-03	0.16
England_NORW-22D496_2021	8.690e-04	2.340e-04	2.221e-03	0.28
England_NORW-22BBA2_2021	1.019e-04	1.337e-04	9.596e-03	1.20
NODE_0000125	1.016e-04	1.671e-04	1.124e-02	1.41
England_NORW-22C172_2021	3.290e-04	2.731e-18	8.000e-04	0.10
NODE_0000126	4.409e-05	6.683e-05	9.354e-03	1.17
England_NORW-22BDD9_2021	1.096e-04	2.736e-18	8.000e-04	0.10
England_NORW-228DDC_2021	-1.000e-12	3.164e-22	8.000e-03	1.00
NODE_0000130	5.504e-04	1.002e-04	1.562e-03	0.20
England_NORW-22A96D_2021	1.177e-05	3.343e-05	8.898e-03	1.11
NODE_0000213	6.351e-06	3.167e-22	8.000e-03	1.00
England_NORW-22D1AE_2021	1.369e-04	3.168e-22	8.000e-04	0.10
NODE_0000131	1.562e-04	3.341e-05	2.086e-03	0.26
England_NORW-22D1CC_2021	2.697e-06	3.164e-22	7.948e-03	0.99
England_NORW-22D3D5_2021	2.461e-05	3.159e-22	5.189e-03	0.65
