#node	clock_length	mutation_length	rate	fold_change
England_NORW-22CE5D_2021	2.268e-04	3.341e-05	1.457e-03	0.18
England_NORW-22BBB1_2021	2.952e-05	3.341e-05	8.239e-03	1.03
NODE_0000037	2.468e-05	3.341e-05	8.408e-03	1.05
England_NORW-22BD8E_2021	1.476e-04	3.341e-05	2.376e-03	0.30
England_NORW-229139_2021	1.611e-05	3.341e-05	8.888e-03	1.11
NODE_0000028	1.190e-04	3.189e-22	1.045e-03	0.13
NODE_0000033	4.791e-05	3.189e-22	8.000e-03	1.00
NODE_0000034	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22BE7C_2021	5.182e-04	3.341e-05	8.000e-04	0.10
NODE_0000038	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22D1BD_2021	1.000e-03	3.341e-05	8.000e-04	0.10
NODE_0000089	3.490e-04	3.341e-05	8.000e-04	0.10
England_NORW-22B3B9_2021	2.350e-04	3.193e-22	8.000e-04	0.10
NODE_0000090	2.509e-05	3.341e-05	8.618e-03	1.08
England_NORW-22BD7F_2021	1.441e-04	3.183e-22	8.000e-04	0.10
England_NORW-22BE9A_2021	2.099e-04	3.183e-22	8.000e-04	0.10
England_NORW-228307_2021	3.453e-05	6.682e-05	9.511e-03	1.19
NODE_0000093	2.291e-04	3.341e-05	1.379e-03	0.17
England_NORW-22C057_2021	4.653e-05	3.178e-22	2.725e-03	0.34
England_NORW-22B2DA_2021	2.697e-06	3.178e-22	7.948e-03	0.99
NODE_0000042	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000045	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-227F31_2021	7.985e-05	3.342e-05	2.151e-03	0.27
NODE_0000047	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22951F_2021	2.990e-04	6.684e-05	1.552e-03	0.19
England_NORW-22B085_2021	2.114e-04	6.682e-05	2.054e-03	0.26
NODE_0000049	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000103	5.691e-04	2.005e-04	2.565e-03	0.32
England_NORW-22BA0F_2021	8.060e-05	2.754e-18	1.167e-03	0.15
England_NORW-22BC81_2021	3.676e-05	6.683e-05	9.867e-03	1.23
NODE_0000051	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22BDAC_2021	5.840e-04	2.673e-04	3.317e-03	0.41
NODE_0000094	5.642e-04	1.337e-04	1.730e-03	0.22
NODE_0000053	1.786e-05	3.166e-22	6.813e-03	0.85
England_NORW-22CC53_2021	1.553e-04	3.166e-22	8.000e-04	0.10
NODE_0000056	1.920e-06	3.166e-22	8.000e-03	1.00
England_NORW-22BDF7_2021	-1.000e-12	3.166e-22	7.948e-03	0.99
England_NORW-22B9F3_2021	-1.000e-12	3.166e-22	7.948e-03	0.99
NODE_0000097	1.515e-05	3.341e-05	8.894e-03	1.11
England_NORW-22CDC9_2021	1.581e-04	3.342e-05	2.241e-03	0.28
NODE_0000057	2.280e-06	3.161e-22	8.000e-03	1.00
England_NORW-22CD41_2021	1.558e-04	3.341e-05	2.240e-03	0.28
NODE_0000063	2.093e-06	3.161e-22	8.000e-03	1.00
England_NORW-22BD06_2021	2.617e-07	3.156e-22	7.948e-03	0.99
England_NORW-22CC62_2021	1.537e-04	3.161e-22	8.000e-04	0.10
NODE_0000058	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000061	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000062	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-228B78_2021	1.278e-04	3.207e-22	8.000e-04	0.10
NODE_0000105	1.831e-05	3.341e-05	6.397e-03	0.80
England_NORW-22898D_2021	1.094e-04	3.342e-05	3.317e-03	0.41
England_NORW-229B86_2020	-1.000e-12	2.763e-18	8.000e-03	1.00
NODE_0000040	5.619e-04	3.341e-05	8.000e-04	0.10
NODE_0000071	0.000e+00	3.185e-22	8.000e-03	1.00
NODE_0000041	3.944e-04	6.682e-05	1.565e-03	0.20
England_NORW-21FC08_2021	2.673e-04	1.337e-04	5.155e-03	0.64
England_NORW-21FB29_2021	2.673e-04	6.683e-05	2.772e-03	0.35
NODE_0000043	2.182e-04	3.341e-05	2.193e-03	0.27
NODE_0000044	1.563e-04	6.682e-05	4.397e-03	0.55
England_NORW-22D34E_2021	8.991e-05	3.341e-05	3.571e-03	0.45
England_NORW-22D2C9_2021	2.415e-05	3.341e-05	7.765e-03	0.97
England_NORW-22D19F_2021	8.991e-05	1.339e-04	9.625e-03	1.20
NODE_0000046	8.264e-05	6.682e-05	7.536e-03	0.94
England_NORW-229C0B_2021	3.209e-05	6.682e-05	9.833e-03	1.23
NODE_0000070	1.939e-07	3.196e-22	7.998e-03	1.00
England_NORW-22A97C_2021	5.381e-05	3.341e-05	5.868e-03	0.73
England_NORW-22D250_2021	9.765e-05	1.002e-04	7.844e-03	0.98
NODE_0000048	6.855e-05	6.683e-05	9.483e-03	1.19
England_NORW-21FC62_2021	5.932e-04	1.672e-04	2.531e-03	0.32
England_NORW-22D36C_2021	3.302e-04	6.682e-05	2.066e-03	0.26
England_NORW-22463F_2021	4.398e-04	1.337e-04	2.843e-03	0.36
NODE_0000052	3.275e-04	1.671e-04	4.875e-03	0.61
England_NORW-22D487_2021	2.219e-04	3.341e-05	1.500e-03	0.19
NODE_0000081	0.000e+00	3.155e-22	8.000e-03	1.00
England_NORW-22D1F9_2021	2.697e-06	3.161e-22	7.948e-03	0.99
England_NORW-22465D_2021	1.123e-04	3.155e-22	8.000e-04	0.10
NODE_0000054	1.318e-04	1.337e-04	9.452e-03	1.18
England_NORW-22466C_2021	3.080e-04	1.338e-04	3.875e-03	0.48
NODE_0000055	8.879e-05	1.002e-04	9.362e-03	1.17
England_NORW-227265_2021	-1.000e-12	3.148e-22	8.000e-03	1.00
NODE_0000075	1.709e-05	3.158e-22	7.474e-03	0.93
NODE_0000076	0.000e+00	3.158e-22	8.000e-03	1.00
England_NORW-224611_2021	1.363e-04	3.158e-22	8.000e-04	0.10
England_NORW-2245F6_2021	1.363e-04	3.158e-22	8.000e-04	0.10
NODE_0000078	0.000e+00	3.158e-22	8.000e-03	1.00
England_NORW-22468A_2021	2.021e-04	3.162e-22	8.000e-04	0.10
England_NORW-22D302_2021	1.363e-04	3.341e-05	2.444e-03	0.31
NODE_0000080	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000059	8.556e-05	3.341e-05	3.667e-03	0.46
NODE_0000060	6.233e-05	6.682e-05	7.032e-03	0.88
NODE_0000100	1.783e-06	3.185e-22	8.000e-03	1.00
England_NORW-2294A9_2021	-1.000e-12	3.185e-22	7.948e-03	0.99
England_NORW-228176_2021	-1.000e-12	3.209e-22	7.948e-03	0.99
NODE_0000102	0.000e+00	3.185e-22	8.000e-03	1.00
England_NORW-22CC17_2021	6.374e-04	3.341e-05	8.000e-04	0.10
NODE_0000108	0.000e+00	3.185e-22	8.000e-03	1.00
England_NORW-22C206_2021	6.593e-04	3.185e-22	8.000e-04	0.10
England_NORW-22CD14_2021	6.374e-04	3.185e-22	8.000e-04	0.10
NODE_0000064	3.491e-05	3.341e-05	6.425e-03	0.80
England_NORW-227FE6_2021	2.921e-05	3.342e-05	8.091e-03	1.01
NODE_0000084	4.894e-05	3.184e-22	4.577e-03	0.57
NODE_0000067	7.248e-04	1.002e-04	1.130e-03	0.14
England_NORW-22D399_2021	6.641e-05	3.345e-05	5.231e-03	0.65
England_NORW-227247_2021	6.557e-07	3.181e-22	7.948e-03	0.99
NODE_0000086	0.000e+00	3.184e-22	8.000e-03	1.00
England_NORW-228E15_2021	3.310e-04	6.686e-05	1.680e-03	0.21
NODE_0000069	4.605e-04	6.682e-05	1.203e-03	0.15
England_NORW-22BB0C_2021	4.579e-05	6.682e-05	9.410e-03	1.18
England_NORW-22B3E6_2021	4.579e-05	3.175e-22	2.778e-03	0.35
England_NORW-22B8AB_2021	4.579e-05	3.175e-22	2.778e-03	0.35
England_NORW-22BB93_2021	4.579e-05	6.682e-05	9.410e-03	1.18
England_NORW-22B52C_2021	4.579e-05	3.165e-22	2.778e-03	0.35
NODE_0000073	1.018e-05	3.341e-05	8.842e-03	1.11
England_NORW-229B1D_2021	1.903e-05	3.341e-05	8.776e-03	1.10
NODE_0000091	2.025e-06	3.189e-22	7.957e-03	0.99
England_NORW-22C145_2021	6.088e-04	6.684e-05	9.396e-04	0.12
NODE_0000092	2.102e-06	3.189e-22	7.958e-03	0.99
England_NORW-22BE30_2021	5.409e-04	6.682e-05	1.065e-03	0.13
NODE_0000095	2.118e-06	3.189e-22	7.960e-03	1.00
England_NORW-229096_2021	3.635e-04	3.342e-05	8.538e-04	0.11
NODE_0000096	1.992e-06	3.189e-22	7.965e-03	1.00
NODE_0000079	3.834e-04	6.682e-05	1.538e-03	0.19
England_NORW-22CD7E_2021	2.630e-04	3.341e-05	1.235e-03	0.15
England_NORW-228000_2021	-1.000e-12	3.188e-22	8.000e-03	1.00
NODE_0000098	2.115e-06	3.189e-22	7.959e-03	0.99
England_NORW-22B261_2021	5.347e-04	3.341e-05	8.000e-04	0.10
NODE_0000099	1.911e-06	3.189e-22	7.962e-03	1.00
NODE_0000077	5.301e-04	3.341e-05	8.000e-04	0.10
England_NORW-22BFE2_2021	1.561e-04	3.178e-22	8.000e-04	0.10
England_NORW-22B9E4_2021	2.697e-06	3.184e-22	7.948e-03	0.99
NODE_0000101	1.884e-06	3.189e-22	7.968e-03	1.00
NODE_0000083	5.524e-04	3.341e-05	8.000e-04	0.10
England_NORW-22C1DC_2021	4.427e-05	3.341e-05	7.083e-03	0.89
England_NORW-22BB75_2021	4.379e-07	3.184e-22	7.999e-03	1.00
NODE_0000104	1.812e-06	3.189e-22	7.967e-03	1.00
England_NORW-228F7C_2021	1.784e-04	3.187e-22	8.000e-04	0.10
NODE_0000106	2.051e-06	3.189e-22	8.000e-03	1.00
England_NORW-228747_2021	1.025e-06	3.189e-22	7.950e-03	0.99
England_NORW-22B304_2021	8.870e-05	3.341e-05	4.044e-03	0.51
NODE_0000107	0.000e+00	3.189e-22	8.000e-03	1.00
England_NORW-22756C_2021	8.730e-04	3.343e-05	8.000e-04	0.10
NODE_0000111	8.708e-05	3.341e-05	3.031e-03	0.38
England_NORW-228FE5_2021	8.451e-05	1.672e-04	1.192e-02	1.49
NODE_0000133	1.427e-05	3.341e-05	8.898e-03	1.11
NODE_0000135	1.992e-05	6.682e-05	9.993e-03	1.25
NODE_0000141	9.614e-05	1.002e-04	8.273e-03	1.03
England_NORW-227E07_2021	1.076e-04	6.682e-05	5.547e-03	0.69
England_NORW-227F7D_2021	1.076e-04	1.674e-04	1.069e-02	1.34
NODE_0000142	6.481e-06	3.341e-05	8.707e-03	1.09
England_NORW-22897E_2021	-1.000e-12	3.180e-22	8.000e-03	1.00
NODE_0000113	8.879e-05	3.175e-22	5.815e-03	0.73
NODE_0000114	0.000e+00	3.175e-22	8.000e-03	1.00
England_NORW-22B216_2021	4.592e-04	3.175e-22	8.000e-04	0.10
England_NORW-22BEC7_2021	4.153e-04	3.175e-22	8.000e-04	0.10
NODE_0000115	0.000e+00	3.175e-22	8.000e-03	1.00
England_NORW-22B2AD_2021	4.372e-04	6.682e-05	1.148e-03	0.14
England_NORW-22B00D_2021	2.080e-05	2.739e-18	9.898e-04	0.12
NODE_0000116	0.000e+00	3.171e-22	7.999e-03	1.00
England_NORW-22D469_2021	1.059e-03	2.339e-04	1.815e-03	0.23
NODE_0000137	4.223e-04	3.341e-05	8.000e-04	0.10
England_NORW-22B225_2021	1.321e-04	3.342e-05	2.667e-03	0.33
England_NORW-22B252_2021	1.321e-04	3.185e-22	8.000e-04	0.10
England_NORW-22BC45_2021	2.256e-05	3.344e-05	8.640e-03	1.08
England_NORW-22B39B_2021	1.321e-04	3.186e-22	8.000e-04	0.10
NODE_0000119	5.151e-05	3.180e-22	6.351e-03	0.79
England_NORW-22464E_2021	1.049e-03	2.005e-04	1.522e-03	0.19
NODE_0000120	0.000e+00	3.180e-22	7.919e-03	0.99
NODE_0000147	7.845e-04	1.337e-04	1.362e-03	0.17
England_NORW-22A772_2021	2.325e-05	3.342e-05	8.740e-03	1.09
England_NORW-22AAD3_2021	2.325e-05	3.342e-05	8.740e-03	1.09
NODE_0000123	2.056e-05	3.169e-22	6.006e-03	0.75
England_NORW-22A45D_2021	2.697e-06	3.165e-22	7.948e-03	0.99
England_NORW-229D08_2021	2.697e-06	3.163e-22	7.948e-03	0.99
NODE_0000150	2.193e-04	3.341e-05	1.395e-03	0.17
NODE_0000151	6.296e-04	6.682e-05	8.859e-04	0.11
England_NORW-22D2E7_2021	2.697e-06	3.185e-22	7.948e-03	0.99
England_NORW-22D539_2021	2.000e-04	3.345e-05	1.691e-03	0.21
NODE_0000152	8.434e-05	1.003e-04	8.022e-03	1.00
England_NORW-22B42F_2021	1.096e-04	3.186e-22	8.000e-04	0.10
England_NORW-22862C_2021	-1.000e-12	3.186e-22	8.000e-03	1.00
England_NORW-22BE6D_2021	1.096e-04	3.186e-22	8.000e-04	0.10
England_NORW-22B2BC_2021	1.973e-04	3.186e-22	8.000e-04	0.10
NODE_0000153	1.061e-04	3.342e-05	3.401e-03	0.43
England_NORW-22BDBB_2021	1.130e-04	3.185e-22	8.000e-04	0.10
NODE_0000149	7.668e-07	2.749e-18	8.000e-03	1.00
England_NORW-22BEA9_2021	2.684e-06	3.179e-22	7.948e-03	0.99
England_NORW-22B43E_2021	9.036e-05	3.182e-22	9.636e-04	0.12
NODE_0000171	4.908e-05	3.341e-05	6.674e-03	0.83
NODE_0000172	1.351e-05	3.341e-05	8.896e-03	1.11
England_NORW-228B87_2021	-1.000e-12	3.176e-22	8.000e-03	1.00
NODE_0000157	2.636e-04	3.176e-22	8.000e-03	1.00
England_NORW-22B313_2021	2.624e-04	6.682e-05	1.100e-03	0.14
NODE_0000164	7.081e-05	3.176e-22	8.000e-03	1.00
NODE_0000165	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-22CB65_2021	1.478e-04	3.341e-05	8.000e-04	0.10
England_NORW-22B243_2021	1.697e-04	3.341e-05	8.000e-04	0.10
NODE_0000166	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-22B9B7_2021	1.039e-04	3.180e-22	8.000e-04	0.10
NODE_0000167	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-228CEE_2021	1.628e-05	3.194e-22	8.000e-04	0.10
England_NORW-227F8C_2021	6.011e-05	3.176e-22	8.000e-04	0.10
NODE_0000132	3.644e-05	3.181e-22	6.348e-03	0.79
NODE_0000134	0.000e+00	3.181e-22	8.000e-03	1.00
England_NORW-22BF79_2021	5.689e-04	3.346e-05	8.000e-04	0.10
NODE_0000180	3.874e-04	3.341e-05	8.000e-04	0.10
England_NORW-22BAF0_2021	2.800e-05	3.341e-05	8.042e-03	1.01
NODE_0000181	3.028e-04	3.341e-05	1.055e-03	0.13
England_NORW-22D593_2021	3.389e-04	3.341e-05	9.095e-04	0.11
England_NORW-2273F9_2021	5.394e-05	6.682e-05	8.500e-03	1.06
NODE_0000138	0.000e+00	3.181e-22	8.000e-03	1.00
England_NORW-22B54A_2021	4.812e-04	1.002e-04	1.706e-03	0.21
NODE_0000183	3.910e-04	6.682e-05	1.439e-03	0.18
England_NORW-22D162_2021	4.628e-04	3.345e-05	8.000e-04	0.10
England_NORW-22B38C_2021	9.017e-05	1.002e-04	8.363e-03	1.05
NODE_0000184	3.308e-04	6.683e-05	1.803e-03	0.23
England_NORW-22D2F6_2021	4.428e-05	3.341e-05	6.809e-03	0.85
NODE_0000185	4.424e-05	3.341e-05	7.076e-03	0.88
England_NORW-22D223_2021	2.196e-05	3.341e-05	8.585e-03	1.07
England_NORW-22D171_2021	1.096e-04	3.342e-05	3.213e-03	0.40
NODE_0000188	2.874e-04	6.683e-05	2.071e-03	0.26
England_NORW-22A9F4_2021	-1.000e-12	3.172e-22	8.000e-03	1.00
NODE_0000143	1.670e-05	3.172e-22	7.167e-03	0.90
NODE_0000144	0.000e+00	3.172e-22	8.000e-03	1.00
England_NORW-22D38A_2021	9.289e-05	3.341e-05	3.716e-03	0.46
England_NORW-22AEAA_2021	2.714e-05	3.177e-22	4.122e-03	0.52
NODE_0000145	0.000e+00	3.172e-22	8.000e-03	1.00
NODE_0000146	0.000e+00	3.172e-22	8.000e-03	1.00
England_NORW-2245E7_2021	1.367e-04	1.337e-04	7.631e-03	0.95
NODE_0000193	1.340e-04	6.683e-05	4.450e-03	0.56
England_NORW-22D205_2021	2.697e-06	3.164e-22	7.948e-03	0.99
England_NORW-22D0DE_2021	2.697e-06	3.164e-22	7.948e-03	0.99
NODE_0000148	0.000e+00	3.172e-22	8.000e-03	1.00
England_NORW-22D180_2021	1.806e-04	3.175e-22	8.000e-04	0.10
NODE_0000195	2.010e-05	3.341e-05	8.280e-03	1.03
England_NORW-22D29C_2021	2.700e-04	3.346e-05	1.222e-03	0.15
NODE_0000186	2.373e-06	3.176e-22	8.000e-03	1.00
England_NORW-22D214_2021	1.581e-04	3.345e-05	2.242e-03	0.28
NODE_0000187	2.240e-06	3.176e-22	8.000e-03	1.00
England_NORW-22D3B7_2021	1.120e-04	3.176e-22	8.000e-04	0.10
NODE_0000189	5.381e-07	3.176e-22	8.000e-03	1.00
England_NORW-22D108_2021	4.572e-05	3.341e-05	6.890e-03	0.86
England_NORW-22A077_2021	1.883e-06	2.747e-18	7.948e-03	0.99
NODE_0000154	3.896e-05	3.186e-22	3.274e-03	0.41
England_NORW-229281_2021	2.363e-05	3.343e-05	8.608e-03	1.08
NODE_0000155	4.531e-05	3.186e-22	5.025e-03	0.63
NODE_0000156	0.000e+00	3.186e-22	8.000e-03	1.00
England_NORW-22BB39_2021	5.043e-04	1.337e-04	2.156e-03	0.27
NODE_0000122	6.598e-05	1.002e-04	8.789e-03	1.10
England_NORW-22B37D_2021	2.192e-05	3.172e-22	5.596e-03	0.70
England_NORW-22AF4D_2021	-1.000e-12	3.175e-22	8.000e-03	1.00
England_NORW-228C57_2021	2.192e-04	3.347e-05	1.523e-03	0.19
NODE_0000158	1.003e-05	3.186e-22	6.765e-03	0.85
NODE_0000159	0.000e+00	3.186e-22	8.000e-03	1.00
NODE_0000160	0.000e+00	3.186e-22	8.000e-03	1.00
England_NORW-22D548_2021	9.984e-04	1.002e-04	8.214e-04	0.10
England_NORW-22D26F_2021	7.573e-04	2.339e-04	2.501e-03	0.31
NODE_0000161	0.000e+00	3.186e-22	8.000e-03	1.00
NODE_0000163	0.000e+00	3.186e-22	8.000e-03	1.00
England_NORW-22B902_2021	4.505e-04	3.186e-22	8.000e-04	0.10
England_NORW-22BCCD_2021	3.190e-04	3.186e-22	8.000e-04	0.10
NODE_0000124	1.416e-04	3.341e-05	2.370e-03	0.30
England_NORW-22CD9C_2021	4.404e-04	6.682e-05	1.299e-03	0.16
England_NORW-22D496_2021	8.569e-04	2.340e-04	2.229e-03	0.28
England_NORW-22BBA2_2021	8.975e-05	1.337e-04	9.775e-03	1.22
NODE_0000125	9.139e-05	1.671e-04	1.142e-02	1.43
England_NORW-22C172_2021	3.271e-04	2.731e-18	8.000e-04	0.10
NODE_0000126	4.219e-05	6.683e-05	9.354e-03	1.17
England_NORW-22BDD9_2021	1.096e-04	2.736e-18	8.000e-04	0.10
England_NORW-228DDC_2021	-1.000e-12	3.164e-22	8.000e-03	1.00
NODE_0000130	5.396e-04	1.002e-04	1.567e-03	0.20
England_NORW-22A96D_2021	1.044e-05	3.343e-05	8.896e-03	1.11
NODE_0000203	1.845e-06	3.167e-22	8.000e-03	1.00
England_NORW-22D1AE_2021	1.401e-04	3.168e-22	8.000e-04	0.10
NODE_0000131	1.593e-04	3.341e-05	2.106e-03	0.26
England_NORW-22D1CC_2021	2.697e-06	3.164e-22	7.948e-03	0.99
England_NORW-22D3D5_2021	2.461e-05	3.159e-22	5.189e-03	0.65
NODE_0000169	0.000e+00	3.186e-22	8.000e-03	1.00
NODE_0000162	3.107e-04	2.005e-04	5.032e-03	0.63
England_NORW-22BDE8_2021	7.407e-05	6.683e-05	7.890e-03	0.99
NODE_0000207	2.135e-06	3.180e-22	8.000e-03	1.00
England_NORW-22C1CD_2021	2.911e-04	3.180e-22	8.000e-04	0.10
NODE_0000208	2.215e-06	3.180e-22	8.000e-03	1.00
England_NORW-22BE8B_2021	6.972e-05	3.177e-22	1.542e-03	0.19
NODE_0000209	2.044e-06	3.180e-22	8.000e-03	1.00
England_NORW-22B2CB_2021	6.767e-05	3.180e-22	1.542e-03	0.19
NODE_0000210	0.000e+00	3.180e-22	8.000e-03	1.00
England_NORW-22961C_2021	1.920e-06	3.180e-22	7.948e-03	0.99
England_NORW-22899C_2021	1.920e-06	3.180e-22	7.948e-03	0.99
NODE_0000112	3.034e-04	3.341e-05	1.009e-03	0.13
England_NORW-22A332_2021	4.100e-04	3.172e-22	8.000e-04	0.10
England_NORW-22D2BA_2021	5.416e-04	3.181e-22	8.000e-04	0.10
England_NORW-22D27E_2021	4.539e-04	3.181e-22	8.000e-04	0.10
England_NORW-22D43C_2021	7.169e-04	6.686e-05	8.000e-04	0.10
England_NORW-22B45C_2021	1.689e-04	6.682e-05	3.552e-03	0.44
NODE_0000117	1.552e-05	3.341e-05	8.857e-03	1.11
England_NORW-22960D_2021	-1.000e-12	3.184e-22	7.948e-03	0.99
NODE_0000118	2.187e-05	3.341e-05	8.617e-03	1.08
England_NORW-22BF6A_2021	2.631e-04	3.342e-05	1.235e-03	0.15
England_NORW-22BD42_2021	2.196e-05	3.341e-05	8.736e-03	1.09
