central_sample_id,sequence_name,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,lineage_support,uk_lineage,del_lineage,phylotype
NORW-22D250,England/NORW-22D250/2021,,2021-02-10,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.18.4.1.10
NORW-22468A,England/NORW-22468A/2021,,2021-02-15,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.14.3.3.1
NORW-22D171,England/NORW-22D171/2021,,2021-02-14,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.10.1.2
NORW-22D26F,England/NORW-22D26F/2021,,2021-02-09,,UK,UK-ENG,Y,,,B.1.1.7,,UK1171,del_trans_26329,UK1171_1.36.1
NORW-22D0DE,England/NORW-22D0DE/2021,,2021-02-12,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.4
NORW-22D3D5,England/NORW-22D3D5/2021,,2021-02-14,,UK,UK-ENG,Y,,,B.1.1.7,,UK1364,del_trans_22142,UK1364_1.12.2
NORW-22D2F6,England/NORW-22D2F6/2021,,2021-02-09,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.10.1.1
NORW-22B2F8,England/NORW-22B2F8/2021,,2021-01-08,,UK,UK-ENG,Y,,,B.1.1.170,,UK1769,del_trans_20532,UK1769_1.2.1
NORW-22D2BA,England/NORW-22D2BA/2021,,2021-02-13,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.32
NORW-22AF4D,England/NORW-22AF4D/2021,,2021-01-08,,UK,UK-ENG,Y,,,B.1.1.7,,UK736,del_trans_26121,UK736_1.4
NORW-22D19F,England/NORW-22D19F/2021,,2021-02-13,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.18.1.1.6.1
NORW-22D108,England/NORW-22D108/2021,,2021-02-09,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.8
NORW-22D38A,England/NORW-22D38A/2021,,2021-02-10,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.2
NORW-22D2E7,England/NORW-22D2E7/2021,,2021-02-12,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.37.2
NORW-22D1F9,England/NORW-22D1F9/2021,,2021-02-10,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.20.1
NORW-22D3B7,England/NORW-22D3B7/2021,,2021-02-12,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.8
NORW-22D399,England/NORW-22D399/2021,,2021-02-10,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.208.2
--
LIVE-E03ED8,England/LIVE-E03ED8/2021,,2021-02-22,,UK,UK-ENG,Y,,,B.1.1.7,,UK2267,del_trans_25946,UK2267_1.61.37.1.2.1
NORW-22B3E6,England/NORW-22B3E6/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.142.5
NORW-22B8AB,England/NORW-22B8AB/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.142.5
NORW-22B38C,England/NORW-22B38C/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.9.1
NORW-22B54A,England/NORW-22B54A/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.118
NORW-22BD51,England/NORW-22BD51/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.235,,UK5777,del_trans_15290,UK5777_1
NORW-22CC17,England/NORW-22CC17/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.25.1.21
NORW-21FC08,England/NORW-21FC08/2021,,2021-02-22,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.16.1.1
NORW-22BBA2,England/NORW-22BBA2/2021,,2021-01-16,,UK,UK-ENG,N,,,B.1.1.7,,UK781,del_trans_22298,UK781_1
NORW-22BA0F,England/NORW-22BA0F/2021,,2021-01-29,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.261.2.1.1
NORW-22B225,England/NORW-22B225/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.35.5
NORW-22D539,England/NORW-22D539/2021,,2021-02-21,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.37.2
NORW-22BB39,England/NORW-22BB39/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.19.1.3
NORW-22B216,England/NORW-22B216/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.24
NORW-22BB0C,England/NORW-22BB0C/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.142.5.2
NORW-22C1CD,England/NORW-22C1CD/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1383,del_trans_22132,UK1383_1.1.1
NORW-22BE30,England/NORW-22BE30/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66.1.1
NORW-22BDF7,England/NORW-22BDF7/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4
NORW-22BB93,England/NORW-22BB93/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.142.5
NORW-22BE6D,England/NORW-22BE6D/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.21.4.4
NORW-22B2CB,England/NORW-22B2CB/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1383,del_trans_22132,UK1383_1.1.1
NORW-22BCDC,England/NORW-22BCDC/2021,,2021-01-09,,UK,UK-ENG,Y,,,B.1.177,,UK4985,del_trans_8034,UK4985_1.6.62.6.1.1.1
NORW-22CE5D,England/NORW-22CE5D/2021,,2021-02-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.9.34.2.23.1
NORW-22BFE2,England/NORW-22BFE2/2021,,2021-02-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-22C172,England/NORW-22C172/2021,,2021-01-31,,UK,UK-ENG,Y,,,B.1.1.7,,UK1440,del_trans_23287,UK1440_1.10
NORW-22B902,England/NORW-22B902/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1446,del_trans_21152,UK1446_1
NORW-22BCCD,England/NORW-22BCCD/2021,,2021-01-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1
NORW-22D469,England/NORW-22D469/2021,,2021-02-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.8.1.10.1.4
NORW-22BF79,England/NORW-22BF79/2021,,2021-01-31,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.82.1
NORW-22B9F3,England/NORW-22B9F3/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4
NORW-22BD8E,England/NORW-22BD8E/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.9.34.2.9
NORW-22BDBB,England/NORW-22BDBB/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.21.4.4.1
NORW-22CD14,England/NORW-22CD14/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.25.1
NORW-22D593,England/NORW-22D593/2021,,2021-02-21,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.119.30.1
NORW-22BF6A,England/NORW-22BF6A/2021,,2021-02-02,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.32.194.8
NORW-22CD9C,England/NORW-22CD9C/2021,,2021-02-01,,UK,UK-ENG,Y,,,B.1.1.7,,UK4352,del_trans_22230,UK4352_1.15
NORW-21FC62,England/NORW-21FC62/2021,,2021-02-22,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.12.1
NORW-22BD42,England/NORW-22BD42/2021,,2021-01-22,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.32.194.8
NORW-22CD41,England/NORW-22CD41/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4.1
NORW-22D548,England/NORW-22D548/2021,,2021-02-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.1.3
NORW-22D43C,England/NORW-22D43C/2021,,2021-02-21,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.32
NORW-22B42F,England/NORW-22B42F/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.21.4.4
NORW-22BC45,England/NORW-22BC45/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.35.5
NORW-22CDC9,England/NORW-22CDC9/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4.1
NORW-22C206,England/NORW-22C206/2021,,2021-02-03,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.25.1
NORW-22B2BC,England/NORW-22B2BC/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.21.4.4
NORW-22BD7F,England/NORW-22BD7F/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.328.1
NORW-22BEC7,England/NORW-22BEC7/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.24
NORW-22BEA9,England/NORW-22BEA9/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.21.4.4.1
NORW-22D487,England/NORW-22D487/2021,,2021-02-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.20.1
NORW-22BBB1,England/NORW-22BBB1/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.9.34.2.23
NORW-22B9B7,England/NORW-22B9B7/2021,,2021-01-24,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.199.1
NORW-22CD6F,England/NORW-22CD6F/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.177,,UK4985,del_trans_8034,UK4985_1.6.62
NORW-22BE4F,England/NORW-22BE4F/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.177,,UK4985,del_trans_8034,UK4985_1.19.9.3
NORW-22CC53,England/NORW-22CC53/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4
NORW-22CD7E,England/NORW-22CD7E/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66.13.1
NORW-22B43E,England/NORW-22B43E/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.13.21.4.4.1
NORW-22C145,England/NORW-22C145/2021,,2021-01-31,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-22B313,England/NORW-22B313/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.199.1
NORW-22D29C,England/NORW-22D29C/2021,,2021-02-19,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.8.2
NORW-22BD15,England/NORW-22BD15/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.235,,UK5777,del_trans_15290,UK5777_1
NORW-22B2AD,England/NORW-22B2AD/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.24
NORW-22BDD9,England/NORW-22BDD9/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1440,del_trans_23287,UK1440_1.10.2
NORW-22B52C,England/NORW-22B52C/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.142.5
NORW-22B39B,England/NORW-22B39B/2021,,2021-01-28,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.35.5
NORW-22B243,England/NORW-22B243/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.199.1
NORW-22B261,England/NORW-22B261/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-22BC81,England/NORW-22BC81/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.261.2.1.1
NORW-22BD06,England/NORW-22BD06/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4.1
NORW-22BAF0,England/NORW-22BAF0/2021,,2021-01-24,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.119.1
NORW-22BDE8,England/NORW-22BDE8/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1383,del_trans_22132,UK1383_1.1.1
NORW-22B45C,England/NORW-22B45C/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.32.2
NORW-22BAD2,England/NORW-22BAD2/2021,,2021-01-16,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.9.1.47.6
NORW-22B51D,England/NORW-22B51D/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.238
NORW-22C039,England/NORW-22C039/2021,,2021-02-03,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.104.4
NORW-22B252,England/NORW-22B252/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.35.5
NORW-22BDAC,England/NORW-22BDAC/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.285.1.11.1.5.4
NORW-22B35F,England/NORW-22B35F/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.238
NORW-22C1DC,England/NORW-22C1DC/2021,,2021-01-31,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66.15.1
NORW-22B3B9,England/NORW-22B3B9/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.328
NORW-22BE9A,England/NORW-22BE9A/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.328.1
NORW-22D496,England/NORW-22D496/2021,,2021-02-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1085,del_trans_28316,UK1085_1.4
NORW-22BF5B,England/NORW-22BF5B/2021,,2021-02-03,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.236.1.1
NORW-22BE8B,England/NORW-22BE8B/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1383,del_trans_22132,UK1383_1.1.1
NORW-22C057,England/NORW-22C057/2021,,2021-01-29,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.328.1.1
NORW-22B9E4,England/NORW-22B9E4/2021,,2021-01-28,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-21FB29,England/NORW-21FB29/2021,,2021-02-22,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.16.1.6.2
NORW-22B2DA,England/NORW-22B2DA/2021,,2021-01-27,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.328.1.1
NORW-22BE7C,England/NORW-22BE7C/2021,,2021-01-23,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.29
NORW-22CB65,England/NORW-22CB65/2021,,2021-01-26,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.199.1
NORW-22BB75,England/NORW-22BB75/2021,,2021-01-29,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66.15
NORW-22CC62,England/NORW-22CC62/2021,,2021-02-02,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.132.4.1
--
CAMB-AA23D0,England/CAMB-AA23D0/2021,,2021-02-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.111
NORW-228F7C,England/NORW-228F7C/2021,,2021-01-12,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-229719,England/NORW-229719/2021,,2021-01-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.104.4.1
NORW-2273F9,England/NORW-2273F9/2021,,2021-02-08,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.119.30
NORW-22970A,England/NORW-22970A/2021,,2021-01-05,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.225.1.1.1
NORW-2297A0,England/NORW-2297A0/2021,,2021-01-12,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.238
NORW-22898D,England/NORW-22898D/2021,,2021-01-03,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.95
NORW-229C0B,England/NORW-229C0B/2021,,2021-02-07,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.18.4.1.7
NORW-2291DF,England/NORW-2291DF/2021,,2021-01-04,,UK,UK-ENG,Y,,,B.1.177,,UK4985,del_trans_8034,UK4985_1.6.62
NORW-228747,England/NORW-228747/2021,,2021-01-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-228FE5,England/NORW-228FE5/2021,,2021-01-05,,UK,UK-ENG,Y,,,B.1.1.7,,UK2279,del_trans_27014,UK2279_1
NORW-228DDC,England/NORW-228DDC/2021,,2021-01-18,,UK,UK-ENG,Y,,,B.1.1.7,,UK1440,del_trans_23287,UK1440_1.10.2
NORW-22A077,England/NORW-22A077/2021,,2021-02-07,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1
NORW-22899C,England/NORW-22899C/2021,,2021-01-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1383,del_trans_22132,UK1383_1.1.1
NORW-227E07,England/NORW-227E07/2021,,2021-01-12,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.1.1.1
NORW-229281,England/NORW-229281/2021,,2021-01-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1446,del_trans_21152,UK1446_1.157
NORW-22A772,England/NORW-22A772/2021,,2021-02-10,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.4.7
NORW-2245F6,England/NORW-2245F6/2021,,2021-02-12,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.14.3.3.1
NORW-22A45D,England/NORW-22A45D/2021,,2021-02-10,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.4.7
NORW-229597,England/NORW-229597/2020,,2020-12-30,,UK,UK-ENG,Y,,,B.1.177,,UK4985,del_trans_8034,UK4985_1.19.9
NORW-2284F5,England/NORW-2284F5/2021,,2021-01-12,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.225.1
NORW-229D08,England/NORW-229D08/2021,,2021-02-10,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.4.7
NORW-227265,England/NORW-227265/2021,,2021-02-05,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.14.3.3.1
NORW-228176,England/NORW-228176/2021,,2021-01-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1
NORW-22A96D,England/NORW-22A96D/2021,,2021-02-06,,UK,UK-ENG,Y,,,B.1.1.7,,UK1364,del_trans_22142,UK1364_1.12
NORW-229139,England/NORW-229139/2021,,2021-01-20,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.9.34.2.9.1
NORW-2283E9,England/NORW-2283E9/2020,,2020-12-30,,UK,UK-ENG,Y,,,B.1.177,,UK1219,del_trans_10953,UK1219_1.225
NORW-2294A9,England/NORW-2294A9/2021,,2021-01-04,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.25.1
NORW-2295C4,England/NORW-2295C4/2021,,2021-01-04,,UK,UK-ENG,Y,,,B.1.177,,UK2314,del_trans_14312,UK2314_1
NORW-22AAD3,England/NORW-22AAD3/2021,,2021-02-10,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.4.7
